Date de sortie;Nom de l'album/ep;Nom de la musique;Collaborateurs;Certifications (desservies par la RRIA);Duree (en min:sec);;
04-oct-10;Doo-Wops and Hooligans1;Grenade;X;1 single d'Or, 8 singles de Platine, 1 single de Diamant;03:42;;
04-oct-10;Doo-Wops and Hooligans1;Just the Way Your Are;X;1 single d'Or, 13 singles de Platine, 1 single de Diamant;03:40;;
04-oct-10;Doo-Wops and Hooligans1;Our First Time;X;X;04:03;;
04-oct-10;Doo-Wops and Hooligans1;Runaway Baby;X;1 single d'Or, 1 single de Platine;02:28;;
04-oct-10;Doo-Wops and Hooligans1;The Lazy Song;X;1 single d'Or, 7 singles de Platine;03:09;;
04-oct-10;Doo-Wops and Hooligans1;Marry You;X;1 single d'Or, 4 singles de Platine;03:50;;
04-oct-10;Doo-Wops and Hooligans1;Talking to the Moon;X;1 single d'Or, 2 singles de Platine;03:37;;
04-oct-10;Doo-Wops and Hooligans1;Liquor Store Blues;Damian Marley;1 single d'Or;03:49;;
04-oct-10;Doo-Wops and Hooligans1;Count on Me;X;1 single d'Or, 3 singles de Platine;03:17;;
04-oct-10;Doo-Wops and Hooligans1;The Other Side;B.o.B, CeeLo Green;1 single d'Or;03:48;;
04-oct-10;Doo-Wops and Hooligans1;Somewhere in Brooklyn;X;X;03:01;;
04-oct-10;Doo-Wops and Hooligans1;Talking to the Moon - Acoustic Piano;X;X;03:37;;
02-nov-10;Just the Way You Are (Remixes);Just the Way You Are - Simon Steur Club Mix;X;X;05:37;;
02-nov-10;Just the Way You Are (Remixes);Just the Way Your Are - Simon Steur Dub;X;X;05:37;;
02-nov-10;Just the Way You Are (Remixes);Just the Way You Are - Carl Louis & Martin Danielle Club Mix;Carl Louis, Martin Danielle;X;05:19;;
02-nov-10;Just the Way You Are (Remixes);Just the Way You Are - Carl Louis & Martin Danielle Classic Mix;Carl Louis, Martin Danielle;X;05:17;;
02-nov-10;Just the Way You Are (Remixes);Just the Way You Are - Manufactured Superstars and Jquintal Remix;X;X;07:24;;
